total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,cityCenters_nearest,floor_category
51.0,2,2.54,10.0,30.4,6,False,False,False,9.0,1,14320.0,другой
48.7,1,3.0,6.0,24.2,6,False,False,False,10.1,0,2723.0,последний
59.2,2,2.76,22.0,34.0,7,False,False,False,11.9,0,17394.0,другой
51.0,2,2.5,12.0,31.0,1,False,False,False,9.0,0,6201.0,первый
90.0,3,2.8,14.0,51.5,11,False,False,False,15.0,0,14673.0,другой
40.0,1,2.6,12.0,20.2,3,False,False,False,10.0,0,20817.0,другой
30.4,1,2.52,5.0,18.0,2,False,False,False,5.3,1,10602.0,другой
74.7,2,2.75,12.0,38.4,2,False,False,False,14.3,4,15091.0,другой
80.0,2,3.0,10.0,41.0,6,False,False,False,17.0,2,7954.0,другой
45.4,2,2.5,9.0,26.8,6,False,False,False,7.0,0,16103.0,другой
60.0,3,3.0,5.0,33.3,2,False,False,False,8.9,0,6799.0,другой
72.7,2,2.7,18.0,35.76,9,False,False,False,15.09,0,8297.0,другой
65.0,2,2.8,19.0,33.0,18,False,False,False,11.15,0,14935.0,другой
55.0,2,3.2,5.0,34.0,5,False,False,False,8.0,0,4579.0,последний
48.9,4,2.6,5.0,37.1,3,False,False,False,5.2,0,11364.0,другой
67.3,2,2.8,4.0,35.0,4,False,False,False,16.6,0,5354.0,последний
45.0,2,2.6,5.0,30.0,3,False,False,False,7.0,0,17124.0,другой
42.0,1,2.85,13.0,18.0,9,False,False,False,12.0,0,8628.0,другой
125.7,6,2.55,15.0,73.6,15,False,False,False,10.9,2,12723.0,последний
43.4,1,2.79,25.0,20.7,20,False,False,False,10.7,2,14234.0,другой
37.92,1,2.75,25.0,16.94,16,False,False,False,10.06,0,13242.0,другой
70.9,2,4.0,5.0,48.6,2,False,False,False,11.0,0,653.0,другой
119.0,3,3.0,6.0,60.9,3,False,False,False,14.9,0,17858.0,другой
57.5,2,2.7,12.0,29.0,9,False,False,False,8.0,2,11167.0,другой
48.0,2,2.5,14.0,28.0,11,False,False,False,7.0,0,16001.0,другой
43.9,1,2.7,16.0,18.2,1,False,False,False,11.6,0,16028.0,первый
67.0,3,2.5,12.0,44.0,4,False,False,False,8.0,2,14216.0,другой
33.7,1,2.55,9.0,15.5,8,False,False,False,9.5,0,11555.0,другой
79.2,3,2.9,5.0,55.7,4,False,False,False,8.4,1,5594.0,другой
65.0,3,2.5,12.0,38.0,1,False,False,False,10.0,0,13707.0,первый
102.0,2,3.0,6.0,48.4,2,False,False,False,18.8,0,1852.0,другой
36.2,1,2.6,12.0,21.4,12,False,False,False,7.3,0,10473.0,последний
50.3,2,2.55,9.0,30.3,9,False,False,False,9.2,0,16383.0,последний
99.0,2,2.7,17.0,49.0,16,False,False,False,11.7,0,10466.0,другой
74.4,3,2.55,9.0,45.5,4,False,False,False,9.9,0,14747.0,другой
30.0,1,2.5,9.0,15.2,1,False,False,False,7.0,0,13395.0,первый
35.5,1,2.75,25.0,17.3,8,False,False,False,8.7,0,12015.0,другой
74.7,4,2.55,9.0,54.8,6,False,False,False,7.0,0,11741.0,другой
69.2,3,2.65,12.0,41.4,5,False,False,False,10.7,0,12407.0,другой
57.9,3,2.5,9.0,39.4,7,False,False,False,6.2,0,15103.0,другой
63.0,2,2.75,24.0,32.6,12,False,False,False,11.8,2,12738.0,другой
76.0,3,3.0,4.0,50.95,1,False,False,False,10.4,0,5374.0,первый
68.0,2,3.0,3.0,39.5,3,False,False,False,8.3,0,10567.0,последний
46.5,2,2.56,5.0,29.7,1,False,False,False,7.1,0,17479.0,первый
32.7,1,2.6,9.0,18.7,9,False,False,False,6.0,0,15579.0,последний
51.3,2,2.5,9.0,29.0,1,False,False,False,7.0,0,14745.0,первый
64.7,3,2.5,15.0,43.6,12,False,False,False,7.4,4,9220.0,другой
71.0,2,3.0,3.0,35.0,3,False,False,False,8.95,0,20802.0,последний
154.7,5,3.15,5.0,112.0,4,False,False,False,21.5,0,4263.0,другой
39.0,1,2.5,17.0,17.0,10,False,False,False,10.5,0,12441.0,другой
67.0,5,2.6,5.0,51.2,1,False,False,False,7.5,0,12035.0,первый
31.2,1,2.5,4.0,19.1,1,False,False,False,9.4,0,17053.0,первый
48.7,2,2.7,16.0,22.6,14,False,False,False,9.4,2,16296.0,другой
90.4,3,2.8,10.0,51.4,10,False,False,False,11.8,0,14697.0,последний
46.0,2,2.5,5.0,30.0,2,False,False,False,7.0,1,12484.0,другой
74.5,3,2.55,9.0,42.3,5,False,False,False,7.0,0,16596.0,другой
45.0,2,2.6,9.0,27.2,3,False,False,False,8.0,0,7552.0,другой
42.44,1,2.7,18.0,18.79,6,False,False,False,11.0,0,8297.0,другой
47.0,2,2.6,12.0,27.0,11,False,False,False,7.0,1,17046.0,другой
76.34,3,2.75,13.0,46.05,5,False,False,False,13.32,0,8291.0,другой
35.2,1,2.5,12.0,21.2,3,False,False,False,6.6,0,11672.0,другой
37.3,1,2.5,12.0,18.0,4,False,False,False,9.0,2,16502.0,другой
66.0,3,2.55,16.0,41.0,8,False,False,False,7.0,0,22765.0,другой
70.0,2,2.7,20.0,37.4,7,False,False,False,13.05,2,10430.0,другой
85.0,3,2.78,4.0,53.6,4,False,False,False,10.9,0,4937.0,последний
60.4,2,2.6,5.0,35.5,2,False,False,False,8.4,0,7647.0,другой
36.0,1,2.65,26.0,16.5,22,False,False,False,11.45,1,14883.0,другой
51.0,2,2.745,21.0,26.0,10,False,False,False,8.7,0,17405.0,другой
60.0,3,2.5,12.0,43.0,2,False,False,False,6.0,0,14756.0,другой
48.8,2,2.5,9.0,30.8,2,False,False,False,6.6,1,17591.0,другой
41.1,1,2.75,25.0,17.0,6,False,False,False,10.0,1,14769.0,другой
45.0,2,2.5,9.0,28.0,3,False,False,False,8.0,1,18304.0,другой
79.0,4,2.6,9.0,55.3,6,False,False,False,10.0,1,16010.0,другой
165.2,3,3.0,19.0,59.8,19,False,False,False,13.4,0,4563.0,последний
59.0,2,2.8,15.0,38.0,15,False,False,False,9.0,0,21074.0,последний
58.4,3,2.5,9.0,43.0,7,False,False,False,7.6,1,14787.0,другой
53.0,2,2.5,9.0,33.0,9,False,False,False,6.8,0,12168.0,последний
38.0,1,2.5,9.0,18.0,3,False,False,False,9.0,0,15735.0,другой
35.5,1,2.6,10.0,16.0,1,False,False,False,8.3,0,13902.0,первый
98.0,2,2.75,16.0,47.0,8,False,False,False,11.0,0,12551.0,другой
58.8,2,3.0,14.0,29.5,13,False,False,False,10.0,0,15582.0,другой
59.4,2,2.76,16.0,33.0,2,False,False,False,11.0,1,11065.0,другой
44.2,2,2.6,9.0,27.3,4,False,False,False,6.6,0,11677.0,другой
30.3,1,2.51,9.0,17.8,1,False,False,False,6.3,0,15724.0,первый
57.0,2,2.87,20.0,32.0,18,False,False,False,9.1,2,7605.0,другой
63.0,2,2.7,19.0,35.0,3,False,False,False,14.0,2,13704.0,другой
54.6,2,2.54,10.0,29.2,2,False,False,False,8.1,2,14320.0,другой
44.7,1,2.64,18.0,15.0,8,False,False,False,22.0,0,15443.0,другой
34.4,1,2.7,25.0,16.0,25,False,False,False,10.2,2,15541.0,последний
32.0,1,2.5,9.0,18.0,4,False,False,False,7.0,0,15606.0,другой
50.7,2,2.55,9.0,33.0,3,False,False,False,7.0,0,16596.0,другой
49.0,2,2.5,9.0,30.8,3,False,False,False,6.6,1,15840.0,другой
46.8,1,2.8,17.0,22.0,8,False,False,False,16.0,2,14980.0,другой
68.0,2,3.0,24.0,35.0,10,False,False,False,11.0,1,8913.0,другой
38.0,1,2.5,18.0,16.0,11,False,False,False,14.0,0,21778.0,другой
57.0,2,2.6,10.0,32.0,6,False,False,False,9.0,1,11240.0,другой
62.2,3,2.55,9.0,39.5,6,False,False,False,10.0,0,15336.0,другой
60.2,3,2.65,9.0,42.3,4,False,False,False,6.5,1,15134.0,другой
45.0,1,3.0,9.0,22.0,2,False,False,False,10.0,0,5038.0,другой
28.1,1,2.75,19.0,18.0,15,False,False,False,10.274999999999999,0,17628.0,другой
36.0,1,3.7,4.0,15.8,1,False,False,False,6.3,0,2659.0,первый
36.0,1,2.8,6.0,17.0,2,False,False,False,8.0,2,12184.0,другой
45.3,2,2.65,9.0,27.0,3,False,False,False,6.2,0,17135.0,другой
113.0,3,2.5,12.0,64.8,8,False,False,False,16.0,1,12952.0,другой
38.0,1,2.7,3.0,20.0,1,False,False,False,7.5,0,13346.0,первый
32.5,1,2.7,18.0,14.1,3,False,False,False,8.8,1,11849.0,другой
97.0,3,2.6,10.0,52.0,5,False,False,False,14.0,0,16806.0,другой
54.4,1,2.65,17.0,17.0,5,False,False,False,12.4,2,16022.0,другой
67.0,2,3.1,4.0,40.1,2,False,False,False,12.5,0,2383.0,другой
30.0,1,2.5,5.0,15.0,2,False,False,False,7.2,0,12105.0,другой
148.3,3,2.6,5.0,44.0,5,False,False,False,40.2,0,14486.0,последний
78.0,3,3.0,7.0,51.7,6,False,False,False,9.0,0,7625.0,другой
71.0,2,2.8,25.0,34.9,2,False,False,False,11.0,5,16685.0,другой
45.0,1,2.7,18.0,19.0,5,False,False,False,13.0,0,11093.0,другой
70.8,2,3.1,16.0,38.4,12,False,False,False,10.63,0,8460.0,другой
65.4,3,2.6,5.0,52.5,3,False,False,False,6.9,0,6159.0,другой
79.6,2,2.7,16.0,32.0,3,False,False,False,10.5,0,8460.0,другой
46.22,2,2.57,5.0,31.6,2,False,False,False,6.8,0,13597.0,другой
64.3,3,2.6,14.0,37.0,9,False,False,False,8.5,0,15750.0,другой
58.0,3,2.55,9.0,42.0,2,False,False,False,6.0,0,12596.0,другой
63.0,3,2.5,9.0,43.0,3,False,False,False,9.0,1,12144.0,другой
61.7,2,2.8,16.0,36.2,13,False,False,False,12.5,0,13445.0,другой
42.0,2,3.0,4.0,22.4,1,False,False,False,9.3,0,1996.0,первый
43.4,1,2.6,22.0,17.9,7,False,False,False,11.9,2,14806.0,другой
85.0,2,2.7,5.0,30.0,3,False,False,False,7.0,0,3399.0,другой
42.8,1,2.75,25.0,17.0,17,False,False,False,12.1,0,25366.0,другой
44.8,2,2.6,5.0,27.5,3,False,False,False,7.2,1,18316.0,другой
31.0,1,2.75,25.0,16.0,6,False,False,False,8.5,1,13242.0,другой
41.3,2,2.55,5.0,30.0,3,False,False,False,7.0,0,11738.0,другой
43.0,1,2.65,13.0,19.0,9,False,False,False,9.0,1,16077.0,другой
28.5,1,2.7,5.0,16.0,1,False,False,False,5.5,0,12637.0,первый
72.0,3,2.5,4.0,61.0,1,False,False,False,10.0,0,4427.0,первый
45.7,2,2.5,9.0,28.6,6,False,False,False,7.0,2,12267.0,другой
81.5,2,3.0,5.0,44.2,1,False,False,False,9.5,0,3409.0,первый
63.7,2,2.7,17.0,33.7,15,False,False,False,13.7,5,15092.0,другой
93.2,3,2.8,16.0,49.0,8,False,False,False,13.2,0,15616.0,другой
38.1,1,2.78,17.0,18.0,2,False,False,False,10.5,0,14635.0,другой
38.0,1,2.76,22.0,20.0,18,False,False,False,11.0,2,13265.0,другой
90.0,4,3.3,6.0,60.0,3,False,False,False,12.0,0,2321.0,другой
108.0,4,3.14,5.0,67.5,3,False,False,False,11.8,0,4336.0,другой
70.4,3,2.95,4.0,49.0,2,False,False,False,10.7,0,15480.0,другой
38.7,1,2.6,16.0,20.2,8,False,False,False,7.5,2,12501.0,другой
47.0,2,2.6,5.0,26.0,5,False,False,False,8.0,1,14916.0,последний
62.0,2,2.6,5.0,38.0,1,False,False,False,5.0,0,4459.0,первый
41.3,1,2.7,15.0,18.2,14,False,False,False,10.0,0,9059.0,другой
30.5,1,2.6,5.0,17.7,3,False,False,False,5.6,0,11524.0,другой
140.0,4,2.7,13.0,70.0,6,False,False,False,24.4,0,6173.0,другой
51.7,1,2.65,16.0,29.9,3,False,False,False,7.7,2,13168.0,другой
77.8,3,2.7,21.0,49.98,6,False,False,False,15.4,0,8322.0,другой
66.2,3,2.65,12.0,42.8,3,False,False,False,10.8,0,12246.0,другой
64.0,2,2.7,23.0,54.0,21,False,False,False,10.0,2,12029.0,другой
39.3,1,2.6,14.0,14.4,4,False,False,False,10.9,2,4762.0,другой
42.5,2,2.6,5.0,28.0,5,False,False,False,6.1,0,16556.0,последний
54.0,2,2.5,10.0,35.0,4,False,False,False,8.0,0,7257.0,другой
57.0,3,3.2,5.0,33.2,1,False,False,False,12.1,0,3500.0,первый
45.0,1,2.7,15.0,18.7,13,False,False,False,15.0,0,6673.0,другой
37.0,1,2.65,9.0,18.0,4,False,False,False,11.0,0,12825.0,другой
24.4,1,2.745,21.0,18.0,19,False,False,False,10.01,0,9719.0,другой
69.7,2,2.6,10.0,35.2,7,False,False,False,15.1,0,5894.0,другой
211.0,6,3.15,6.0,151.6,5,False,False,False,27.0,0,4961.0,другой
52.1,2,3.0,4.0,31.8,1,False,False,False,5.7,0,9927.0,первый
27.3,1,2.55,12.0,15.3,12,False,False,False,6.0,2,10042.0,последний
31.3,1,2.6,5.0,18.1,2,False,False,False,5.4,0,8521.0,другой
86.8,3,2.7,15.0,49.8,10,False,False,False,18.8,0,9014.0,другой
41.7,1,2.75,26.0,17.5,26,False,False,False,13.1,0,19602.0,последний
37.0,1,2.6,5.0,22.37,5,False,False,False,6.0,1,12882.0,последний
70.0,2,2.6,23.0,42.2,9,False,False,False,9.3,1,14611.0,другой
31.5,1,2.5,5.0,17.2,3,False,False,False,6.0,0,16294.0,другой
47.4,1,3.0,4.0,26.0,3,False,False,False,13.0,0,13769.0,другой
91.0,3,3.0,4.0,59.7,2,False,False,False,8.3,0,3441.0,другой
79.23,3,2.75,25.0,47.0,19,False,False,False,13.9,0,11831.0,другой
73.0,3,3.2,5.0,43.5,1,False,False,False,9.0,0,8161.0,первый
67.4,2,2.75,25.0,33.3,6,False,False,False,9.5,0,10610.0,другой
56.0,2,3.15,6.0,35.0,4,False,False,False,8.6,0,2866.0,другой
65.5,2,2.75,25.0,24.0,16,False,False,False,20.9,2,11618.0,другой
42.0,2,2.5,5.0,30.0,5,False,False,False,7.0,0,11693.0,последний
54.8,2,3.0,7.0,34.8,2,False,False,False,8.3,0,4358.0,другой
69.0,2,2.5,13.0,37.8,3,False,False,False,13.3,0,9820.0,другой
43.6,2,2.5,9.0,26.6,1,False,False,False,6.1,0,16446.0,первый
36.9,1,2.6,10.0,17.7,6,False,False,False,8.3,1,13902.0,другой
78.8,3,2.65,12.0,47.0,1,False,False,False,14.7,0,15976.0,первый
89.0,4,3.33,7.0,56.0,3,False,False,False,16.0,1,4993.0,другой
52.0,2,3.15,6.0,34.0,2,False,False,False,9.0,1,8480.0,другой
40.7,1,2.7,17.0,20.3,9,False,False,False,10.1,1,15372.0,другой
39.4,1,3.0,5.0,19.1,5,False,False,False,9.0,0,8910.0,последний
48.0,1,2.75,25.0,17.7,19,False,False,False,10.3,0,9289.0,другой
58.0,3,2.5,9.0,39.0,9,False,False,False,6.2,0,16169.0,последний
43.0,2,2.83,6.0,30.6,2,False,False,False,12.0,0,2487.0,другой
45.0,2,2.6,14.0,24.7,10,False,False,False,7.4,0,10659.0,другой
34.17,1,2.745,21.0,15.03,8,False,False,False,10.39,0,16293.0,другой
118.0,4,3.0,7.0,84.0,3,False,False,False,15.0,0,3941.0,другой
76.0,3,2.55,10.0,50.0,8,False,False,False,12.3,2,22010.0,другой
27.0,1,2.88,5.0,19.6,1,False,False,False,6.6,0,1162.0,первый
67.0,2,2.77,13.0,30.5,7,False,False,False,12.35,2,10188.0,другой
79.9,3,3.0,7.0,46.8,7,False,False,False,10.0,0,11632.0,последний
86.0,3,2.8,25.0,47.0,3,False,False,False,13.0,5,15686.0,другой
97.7,3,3.0,11.0,56.4,10,False,False,False,17.0,1,16825.0,другой
222.0,4,3.2,5.0,159.9,5,False,False,False,30.6,1,2075.0,последний
30.6,1,2.55,9.0,18.0,6,False,False,False,6.5,0,16176.0,другой
28.0,1,2.8,6.0,14.0,3,False,False,False,6.0,0,8480.0,другой
56.0,2,2.65,16.0,36.0,15,False,False,False,11.0,0,12723.0,другой
47.0,1,2.7,25.0,24.0,10,False,False,False,11.0,2,12184.0,другой
59.0,3,2.6,10.0,29.0,2,False,False,False,16.0,5,13195.0,другой
108.1,5,2.6,5.0,76.8,2,False,False,False,9.9,0,5267.0,другой
73.3,3,2.75,19.0,44.0,14,False,False,False,10.1,0,10890.0,другой
54.0,2,2.5,9.0,35.0,4,False,False,False,8.0,0,14042.0,другой
46.0,2,2.6,5.0,30.0,3,False,False,False,7.0,0,13090.0,другой
56.7,3,2.57,9.0,38.8,9,False,False,False,7.0,5,10882.0,последний
47.9,2,3.0,5.0,29.4,1,False,False,False,7.6,0,3813.0,первый
80.8,3,2.54,8.0,49.2,7,False,False,False,10.9,2,16210.0,другой
40.5,2,2.73,17.0,31.0,16,False,False,False,5.0,4,21613.0,другой
40.0,1,2.7,12.0,20.1,10,False,False,False,8.3,1,12890.0,другой
58.0,2,2.75,10.0,32.0,8,False,False,False,9.0,0,11863.0,другой
85.4,4,2.55,9.0,59.6,1,False,False,False,8.7,0,15819.0,первый
75.0,2,2.8,22.0,34.8,9,False,False,False,13.4,2,10330.0,другой
237.0,6,2.6,5.0,165.5,4,False,False,False,42.0,0,3791.0,другой
